word,id,connotation,frequency,wordlen
refusing,0,negative,1,8
thought,1,neutral,1,7
nation,2,neutral,5,6
hall,3,neutral,1,4
decay,4,negative,1,5
beautiful,5,positive,1,9
mountain,6,neutral,2,8
meaning,7,neutral,1,7
understanding,8,neutral,1,13
let,9,neutral,3,3
poverty,10,negative,1,7
goodness,11,positive,1,8
past,12,neutral,1,4
night,13,neutral,1,5
wonderful,14,positive,1,9
benefit,15,positive,1,7
reality,16,neutral,1,7
strong,17,positive,1,6
miseries,18,negative,1,8
industry,19,neutral,1,8
two,20,neutral,1,3
long,21,neutral,2,4
moment,22,neutral,2,6
example,23,neutral,1,7
national,24,neutral,2,8
free,25,positive,1,4
grateful,26,positive,1,8
hardships,27,negative,1,9
middle,28,neutral,1,6
prosper,29,positive,1,7
righteous,30,positive,1,9
decision,31,neutral,1,8
one,32,neutral,8,3
black,33,neutral,1,5
right,34,positive,5,5
many,35,neutral,3,4
people,36,neutral,9,6
blood,37,neutral,1,5
transition,38,neutral,1,10
stealing,39,negative,1,8
face,40,neutral,2,4
thank,41,positive,2,5
thrive,42,positive,1,6
god,43,neutral,3,3
open,44,neutral,1,4
goodwill,45,positive,1,8
country,46,neutral,9,7
friendship,47,neutral,1,10
strength,48,neutral,2,8
wealthy,49,positive,1,7
administration,50,neutral,1,14
reasonable,51,positive,1,10
buy,52,neutral,1,3
confront,53,negative,1,8
promise,54,positive,1,7
good,55,positive,2,4
debate,56,neutral,1,6
red,57,neutral,1,3
openly,58,positive,1,6
white,59,neutral,1,5
talk,60,neutral,2,4
trapped,61,negative,1,7
celebrate,62,positive,1,9
gather,63,neutral,1,6
brown,64,neutral,1,5
carnage,65,negative,1,7
bleed,66,negative,1,5
look,67,neutral,1,4
vision,68,neutral,1,6
celebration,69,positive,1,11
ocean,70,neutral,2,5
success,71,positive,2,7
carry,72,neutral,1,5
party,73,neutral,2,5
child,74,neutral,1,5
destiny,75,positive,2,7
hire,76,neutral,1,4
young,77,neutral,1,5
back,78,neutral,6,4
millennium,79,neutral,1,10
effort,80,neutral,1,6
complaining,81,negative,1,11
peaceful,82,positive,1,8
life,83,neutral,2,4
anything,84,neutral,1,8
wisdom,85,positive,1,6
salute,86,positive,1,6
impose,87,negative,1,6
prosperity,88,positive,1,10
class,89,neutral,1,5
pain,90,negative,2,4
living,91,neutral,1,6
disease,92,neutral,1,7
winning,93,positive,2,7
center,94,neutral,1,6
start,95,neutral,1,5
rich,96,positive,1,4
way,97,neutral,2,3
room,98,neutral,1,4
home,99,neutral,1,4
special,100,neutral,1,7
fallen,101,negative,1,6
form,102,neutral,1,4
lady,103,neutral,1,4
time,104,neutral,2,4
forever,105,neutral,1,7
president,106,neutral,5,9
big,107,neutral,1,3
education,108,neutral,1,9
striving,109,positive,1,8
welfare,110,neutral,1,7
put,111,neutral,1,3
america,112,neutral,17,7
children,113,neutral,2,8
action,114,neutral,2,6
struggling,115,negative,1,10
cash,116,neutral,1,4
guide,117,neutral,1,5
fear,118,negative,1,4
sky,119,neutral,1,3
work,120,positive,1,4
loyalty,121,positive,2,7
tomorrow,122,neutral,1,8
birth,123,neutral,1,5
it,124,neutral,10,2
deprived,125,negative,1,8
fail,126,negative,1,4
system,127,neutral,1,6
pride,128,positive,1,5
lift,129,neutral,1,4
aid,130,neutral,1,3
women,131,neutral,2,5
love,132,positive,1,4
other,133,neutral,5,5
flag,134,neutral,1,4
city,135,neutral,2,4
magnificent,136,positive,1,11
enjoy,137,positive,1,5
protection,138,positive,1,10
courage,139,positive,1,7
world,140,neutral,5,5
government,141,neutral,3,10
orderly,142,positive,1,7
glorious,143,positive,2,8
prejudice,144,negative,1,9
course,145,neutral,1,6
share,146,neutral,2,5
crime,147,negative,1,5
solidarity,148,positive,1,10
power,149,neutral,4,5
gracious,150,positive,1,8
protect,151,positive,1,7
stand,152,neutral,1,5
wealth,153,neutral,4,6
creator,154,neutral,1,7
spirit,155,neutral,1,6
bless,156,positive,2,5
great,157,positive,6,5
lead,158,positive,1,4
future,159,neutral,1,6
interests,160,positive,1,9
voice,161,neutral,1,5
capital,162,neutral,3,7
tell,163,neutral,1,4
simple,164,neutral,1,6
serve,165,neutral,1,5
office,166,neutral,1,6
freedoms,167,positive,1,8
while,168,neutral,6,5
body,169,neutral,1,4
space,170,neutral,1,5
celebrated,171,positive,1,10
justice,172,neutral,1,7
day,173,neutral,3,3
potential,174,neutral,1,9
group,175,neutral,1,5
likes,176,positive,1,5
law,177,neutral,1,3
proud,178,positive,1,5
like,179,positive,2,4
pleasant,180,positive,1,8
establishment,181,neutral,1,13
fill,182,neutral,1,4
steps,183,neutral,1,5
heart,184,neutral,4,5
most,185,neutral,1,4
dream,186,neutral,1,5
safe,187,positive,2,4
job,188,neutral,1,3
politics,189,neutral,1,8
bush,190,neutral,1,4
part,191,neutral,1,4
breath,192,neutral,2,6
unity,193,positive,1,5
can,194,neutral,1,3
ripped,195,negative,1,6
total,196,neutral,1,5
public,197,neutral,1,6
hour,198,neutral,1,4
terrorism,199,negative,1,9
ready,200,positive,1,5
today,201,neutral,4,5
men,202,neutral,2,3
sad,203,negative,1,3
heal,204,positive,1,4
land,205,neutral,2,4
subsidized,206,positive,1,10
make,207,neutral,5,4
fight,208,neutral,2,5
cost,209,neutral,1,4
radical,210,negative,1,7
chief,211,neutral,1,5
confidence,212,positive,1,10
match,213,neutral,1,5
shine,214,positive,1,5
stolen,215,negative,1,6
trade,216,neutral,1,5
earth,217,neutral,2,5
challenge,218,neutral,1,9
landscape,219,neutral,1,9
